episode,agent,policy_loss,value_loss,entropy,approx_kl,grad_norm,reward_mean,reward_std
6,bs_beamformer,4.237517714500427e-09,5.0837126731872555,56.798591232299806,0.0,5.843088626861572,0.0056162187829613686,0.9219667315483093
6,uav_trajectory,1.532025635242462e-08,4.094245862960816,21.295458030700683,0.0,11.863567543029784,-0.017745479941368103,0.9413571953773499
6,jammer_beamformer,-5.8673322200775145e-09,3.501048040390015,56.786079788208006,0.0,4.917639064788818,0.032142627984285355,0.918891429901123
7,bs_beamformer,-5.241017788648605e-08,3.826679754257202,56.85230979919434,0.0,11.352869939804076,0.09507228434085846,0.8672736883163452
7,uav_trajectory,-4.98257577419281e-09,7.813470125198364,21.297132110595705,0.0,20.912416458129883,0.07185229659080505,0.8937679529190063
7,jammer_beamformer,-7.450580596923828e-09,6.542975425720215,56.82938766479492,0.0,8.235510921478271,0.09389336407184601,0.8804997205734253
8,bs_beamformer,-5.580950528383255e-08,6.235506439208985,56.89094619750976,0.0,8.526291608810425,0.13650301098823547,0.844079315662384
8,uav_trajectory,5.2805989980697634e-08,6.336228513717652,21.276283073425294,0.0,29.589448738098145,0.15175580978393555,0.8384628891944885
8,jammer_beamformer,3.979075700044632e-08,5.775727272033691,56.85409317016602,0.0,16.437482833862305,0.14966470003128052,0.8340036273002625
9,bs_beamformer,-9.657815098762512e-08,3.560725545883179,56.91758346557617,0.0,8.072257900238037,0.16839870810508728,0.8095436692237854
9,uav_trajectory,-8.172355592250824e-09,3.9920916080474855,21.23585624694824,0.0,31.218204689025878,0.18485619127750397,0.8067020177841187
9,jammer_beamformer,9.764917194843292e-08,3.5958956718444823,56.82884254455566,0.0,13.764159202575684,0.09644504636526108,0.8581401705741882
10,bs_beamformer,1.6298145055770874e-08,6.374170160293579,56.935006332397464,0.0,10.782907009124756,0.12242445349693298,0.8069396018981934
10,uav_trajectory,-2.570450305938721e-08,5.123456430435181,21.18759231567383,0.0,35.379227828979495,0.08301319926977158,0.8435078859329224
10,jammer_beamformer,-2.698507159948349e-08,5.394345235824585,56.77323455810547,0.0,19.527895355224608,0.06108522787690163,0.8684163689613342
11,bs_beamformer,7.809139788150787e-08,3.926769733428955,56.94669761657715,0.0,9.513506984710693,0.10852731764316559,0.7663410305976868
11,uav_trajectory,-3.2596290111541746e-10,7.087967109680176,21.138496589660644,0.0,46.78739356994629,0.014590626582503319,0.79682457447052
11,jammer_beamformer,6.05359673500061e-09,6.597143840789795,56.68116989135742,0.0,19.899978637695312,0.033506497740745544,0.8209577798843384
12,bs_beamformer,2.6822090148925782e-08,5.103062725067138,56.94284515380859,0.0,14.132398414611817,0.05117758363485336,0.7562747597694397
12,uav_trajectory,4.2049214243888854e-08,4.0348326683044435,21.088716316223145,0.0,49.38644866943359,0.06516025960445404,0.853663444519043
12,jammer_beamformer,-2.1979212760925294e-08,5.201777458190918,56.58576927185059,0.0,19.073393630981446,0.04366272687911987,0.8477187156677246
13,bs_beamformer,2.1513551473617555e-08,6.963022136688233,56.934273147583006,0.0,13.377859020233155,0.10044411569833755,0.7846888303756714
13,uav_trajectory,2.4121254682540892e-08,3.737668538093567,21.030677795410156,0.0,43.97996139526367,0.0517500676214695,0.8413266539573669
13,jammer_beamformer,4.526227712631226e-08,6.412154722213745,56.49566993713379,0.0,32.79479541778564,0.10040243715047836,0.7407277226448059
14,bs_beamformer,-7.66012817621231e-09,4.055211281776428,56.914699935913085,0.0,16.94189214706421,0.13232150673866272,0.7745126485824585
14,uav_trajectory,1.3504177331924438e-08,2.9463629961013793,20.968601036071778,0.0,44.60715866088867,0.03620114177465439,0.7805818915367126
14,jammer_beamformer,-7.357448339462281e-09,4.254236125946045,56.42134399414063,0.0,29.40950698852539,-0.015234643593430519,0.7385308742523193
15,bs_beamformer,-2.4214386940002442e-09,5.232871580123901,56.87195014953613,0.0,22.932917976379393,0.04473681002855301,0.7786767482757568
15,uav_trajectory,-1.4295801520347595e-08,7.0291026592254635,20.91325092315674,0.0,27.384101486206056,0.10504531860351562,0.7824913859367371
15,jammer_beamformer,1.7671845853328706e-08,8.718361091613769,56.33982429504395,0.0,67.6633186340332,0.10976959019899368,0.8376466631889343
16,bs_beamformer,-2.996530383825302e-08,5.943496179580689,56.8326831817627,0.0,26.205257987976076,0.10755300521850586,0.7555356621742249
