episode,secrecy
1,2.2851675597671526
2,2.610262538096501
3,2.694748256843292
4,2.9628974633964957
5,2.6329924198950003
6,2.570144337954579
7,2.0874342670595114
8,4.390665178728053
9,4.558841266930005
10,5.111246066117031
11,5.3784752614620395
12,4.783311053600759
13,4.7903279976618975
14,4.720842854996084
15,4.756669327506467
16,4.9582562738070335
17,4.972088081538027
18,4.833850092057132
19,4.715647743632142
20,4.623534499543032
21,4.587034839737259
22,4.586337291994777
23,4.60833172047051
24,4.5960607695412055
25,4.527182943680623
26,4.566851984546997
27,4.6852024956170535
28,4.703951329702756
29,4.651566508054618
30,4.648706819041658
31,4.533468796119802
32,4.545776659150226
33,4.5735206106009825
34,4.5562439324921
35,4.547170537765314
36,4.540803858318524
37,4.52973206504395
38,4.473774919616932
39,4.511391202279115
40,4.568260049097352
41,4.557482845048188
42,4.557423745512966
43,4.5840257704273935
44,4.5795761824328824
45,4.5630204381804935
46,4.59087462305699
47,4.550841329706205
48,4.577952730193403
49,4.590382823706003
50,4.546037612323664
51,4.5641903347448896
52,4.5494928086273765
53,4.574912210395331
54,4.554060804044516
55,4.5296374477975965
56,4.564128144265291
57,4.552681589765668
58,4.543534155210864
59,4.559014579682059
60,4.577194035739786
61,4.561573227430845
62,4.538575648058836
63,4.545367629571759
64,4.5754313153017385
65,4.583812296622753
66,4.581367040161642
67,4.572214385802275
68,4.635041486279974
69,4.613536524882676
70,4.607897798037845
71,4.637911854978193
72,4.729200578461127
73,4.949033937218389
74,4.617546547453181
75,4.612357937150854
76,4.591213675798685
77,4.644748355009689
78,4.673848146673283
79,4.712629504318511
80,4.774099673909296
81,4.844998776523616
82,4.701442405656423
83,4.788457657331937
84,4.5985340611444325
85,4.610935779928538
86,4.548223334461831
87,4.534836209119988
88,4.564668461525371
89,4.589887305988225
90,4.603560382554237
91,4.6065382852825065
92,4.609059757477978
93,4.582547568412581
94,4.626635206194746
95,4.581172384982664
96,4.644036806079873
97,4.556373782855146
98,4.569397119574545
99,4.556452477718776
100,4.572991293937906
