method,fading_model,avg_rsec_mbps,episode_secrecy_mbits
Random Walk,rician,7.004914410085172,140.09828820170338
Distance-Greedy,rician,8.223530912926272,164.4706182585254
DQN,rician,7.509485596744557,150.18971193489114
DDPG,rician,0.0,0.0
Random Walk,rayleigh,6.351189547616729,127.02379095233458
Distance-Greedy,rayleigh,7.633053874348928,152.6610774869785
DQN,rayleigh,6.4504011120860305,129.0080222417206
DDPG,rayleigh,0.003836176768067734,0.0767235353613547
