episode,global_step,fading_model,control_mode,user_mobile,use_los_model,observation_mode,normalize_observations,enable_energy_harvesting,observation_has_eh,enable_ntn,satellite_altitude_km,hidden_dim,epsilon,target_tau,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,eval_R_sec_mbps,last_eval_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rayleigh,velocity,True,False,full,True,False,False,False,500.0,64,0.9999474861111111,0.005,812.0432749836541,4.06021637491827,9.460511123283657,8.431042215307967,4.334204676605242,,,86.68409353210484,2.5204678415555897,0.24875,200,47.36555029399037,51.73088643440004,18.561044532510884,31.119841962593327,169.92848697894195,266.57805213092007,228.1881220780216,696.7595212472897,4.334204676605242,4.334204676605242,4.334204676605242,4.334204676605242,0.0,0.0
2,400,rayleigh,velocity,True,False,full,True,False,False,False,500.0,64,0.9998947083333334,0.005,796.4554316873088,3.9822771584365437,8.141131627314612,6.349375445927415,4.27393459881245,,,85.478691976249,2.512194073207782,0.2325,200,44.08047012193977,52.83938310409263,5.716621615026586,20.540696510708585,583.5997422800243,358.2082571220967,926.2391019569303,1030.6223102430124,4.304069637708846,4.304069637708846,4.304069637708846,4.304069637708846,0.0,0.0
3,600,rayleigh,velocity,True,False,full,True,False,False,False,500.0,64,0.9998419305555556,0.005,971.5795457758558,4.857897728879279,7.934862525401957,5.678153929657271,5.129685094085764,,,102.59370188171528,2.5032071361537196,0.25,200,51.35874066173379,33.365222696506535,27.293937203389945,18.61137361287794,690.2335037634822,239.39002359778408,626.2347389224137,84.28246871551389,4.579274789834486,4.579274789834486,4.579274789834486,4.579274789834486,0.0,0.0
4,800,rayleigh,velocity,True,False,full,True,False,False,False,500.0,64,0.9997891527777778,0.005,850.7967537923064,4.253983768961532,8.491945852545706,6.770978338812817,4.623720954977209,,,92.47441909954416,2.5275285480622527,0.245,200,53.445297586792144,48.45554698879597,22.44371040698741,8.083603470779332,357.7837834659826,471.5493085032936,546.4595033395433,745.2227995903074,4.5903863311201665,4.5903863311201665,4.5903863311201665,4.5903863311201665,0.0,0.0
5,1000,rayleigh,velocity,True,False,full,True,False,False,False,500.0,64,0.999736375,0.005,1168.0086884991242,5.840043442495621,9.366335712223052,5.226978908236922,6.114055361670915,,,122.2811072334183,2.521496365365044,0.26375,200,48.21191038654329,49.56486702597938,10.111806181635032,15.655312282294897,167.27652968902527,287.68136813920074,542.4904210722182,411.80731332728925,4.895120137230316,4.895120137230316,4.895120137230316,4.895120137230316,0.0,0.0
6,1200,rayleigh,velocity,True,False,full,True,False,False,False,500.0,64,0.9996835972222222,0.005,685.9231974332423,3.4296159871662115,7.224388371459495,5.882156233846642,4.289493658126664,,,85.78987316253328,2.4953557656209457,0.27375,200,39.48283085198739,46.695467274837576,4.989005155931804,21.029695178393993,1016.8507614917066,490.9833043989465,530.7329748918715,525.6947763612121,4.794182390713041,4.794182390713041,4.794182390713041,4.794182390713041,0.0,0.0
7,1400,rayleigh,velocity,True,False,full,True,False,False,False,500.0,64,0.9996308194444444,0.005,859.6805303346698,4.298402651673349,8.66679109195037,6.484665046452197,5.065307814726864,,,101.30615629453729,2.533732221118998,0.24625,200,54.27453982695517,49.35176812788032,17.426851580096763,10.480467750710854,115.47783834639354,616.4221656181111,480.70063941750607,551.1287329058799,4.8329145941435865,4.8329145941435865,4.8329145941435865,4.8329145941435865,0.0,0.0
8,1600,rayleigh,velocity,True,False,full,True,False,False,False,500.0,64,0.9995780416666666,0.005,686.8424291549929,3.4342121457749646,9.047346284088485,7.618157342108058,4.479581360017812,,,89.59162720035624,2.6213460341284525,0.25,200,56.889498535337516,79.39687166354011,30.442967167105873,29.088903157348845,334.9227943582607,62.87947489090112,351.8637251798232,751.9163023193498,4.788747939877865,4.788747939877865,4.788747939877865,4.788747939877865,0.0,0.0
9,1800,rayleigh,velocity,True,False,full,True,False,False,False,500.0,64,0.9995252638888888,0.005,889.3787644273497,4.446893822136748,8.263984010782433,6.0502074427881105,4.72043473938769,,,94.4086947877538,2.517449421336498,0.25375,200,44.69077258940822,50.91279264773511,11.542290512289464,22.657048667608173,475.9970946552064,278.5653824974221,745.7474984395512,748.4490105623898,4.781157584267846,4.781157584267846,4.781157584267846,4.781157584267846,0.0,0.0
10,2000,rayleigh,velocity,True,False,full,True,False,False,False,500.0,64,0.9994724861111111,0.005,933.2574881157656,4.666287440578828,7.897909753898449,5.707328127764553,4.973009126854857,,,99.46018253709714,2.5099870232800066,0.24875,200,46.19176155217164,45.52597058354216,19.04177549636954,13.911314190805381,572.866135576002,441.78650738295795,624.8991754500125,240.3869803149749,4.800342738526547,4.800342738526547,4.800342738526547,4.800342738526547,0.0,0.0
11,2200,rayleigh,velocity,True,False,full,True,False,False,False,500.0,64,0.9994197083333334,0.005,912.9019640681715,4.564509820340858,8.703140667991553,6.607670627601274,4.880107207070557,,,97.60214414141115,2.5183370045832283,0.25625,200,57.25896050517521,41.18853743332548,17.82761577112647,14.475858149319055,381.1155832924726,112.43309654468209,392.24622565318793,626.9974863875051,4.80759405384873,4.80759405384873,4.80759405384873,4.80759405384873,0.0,0.0
12,2400,rayleigh,velocity,True,False,full,True,False,False,False,500.0,64,0.9993669305555556,0.005,685.531493412655,3.427657467063275,8.104551910237756,8.813896558222925,3.715206942062637,,,74.30413884125272,2.550032186777022,0.2325,200,59.35575106054988,56.838308205475805,27.145437520612333,32.72829568938221,556.2482788904563,402.002622519592,127.52024106100234,286.87769615414845,4.716561794533222,4.716561794533222,4.716561794533222,4.716561794533222,0.0,0.0
13,2600,rayleigh,velocity,True,False,full,True,False,False,False,500.0,64,0.9993141527777778,0.005,855.7424971016004,4.278712485508002,8.032285535539069,5.092278204501312,5.13869032808714,,,102.77380656174282,2.574630851217358,0.27375,200,45.084530607953724,70.17773853800851,21.099546591131414,14.84093207496995,481.87391074465353,626.3582235499526,680.970772287897,392.8794859265889,4.749033220191216,4.749033220191216,4.749033220191216,4.749033220191216,0.0,0.0
