method,fading_model,avg_rsec_mbps,episode_secrecy_mbits
Random Walk,rician,7.00186082634384,140.03721652687676
Distance-Greedy,rician,8.07249556308792,161.44991126175847
DQN,rician,7.512870150139326,150.25740300278653
DDPG,rician,0.0,0.0
Random Walk,rayleigh,6.315342563324643,126.30685126649286
Distance-Greedy,rayleigh,7.484344384325459,149.68688768650924
DQN,rayleigh,0.0033347613280997716,0.06669522656199545
DDPG,rayleigh,7.083869328346731,141.67738656693462
