episode,bs_beamformer,uav_jammer
1,6.663916785175613,6.663916785175613
2,6.663916785175613,6.663916785175613
3,6.663916785175613,6.663916785175613
4,6.663916785175613,6.663916785175613
5,6.664833686461483,6.664833686461483
6,6.664833686461483,6.664833686461483
7,6.6624796664028905,6.6624796664028905
8,6.6624796664028905,6.6624796664028905
9,6.6679916775408765,6.6679916775408765
10,6.6679916775408765,6.6679916775408765
11,6.671632137309055,6.671632137309055
12,6.671632137309055,6.671632137309055
13,6.674313077848588,6.674313077848588
14,6.674313077848588,6.674313077848588
15,6.674415680816111,6.674415680816111
16,6.674415680816111,6.674415680816111
17,6.672919602442299,6.672919602442299
18,6.672919602442299,6.672919602442299
19,6.6696651733708,6.6696651733708
20,6.6696651733708,6.6696651733708
21,6.667792066989705,6.667792066989705
22,6.667792066989705,6.667792066989705
23,6.668289097007059,6.668289097007059
24,6.668289097007059,6.668289097007059
25,6.668435189522386,6.668435189522386
26,6.668435189522386,6.668435189522386
27,6.668839498482572,6.668839498482572
28,6.668839498482572,6.668839498482572
29,6.669170272284589,6.669170272284589
30,6.669170272284589,6.669170272284589
31,6.669197606822142,6.669197606822142
32,6.669197606822142,6.669197606822142
33,6.670003058237653,6.670003058237653
34,6.670003058237653,6.670003058237653
35,6.679058662216743,6.679058662216743
36,6.679058662216743,6.679058662216743
37,6.679262242576725,6.679262242576725
38,6.679262242576725,6.679262242576725
39,6.683540660603192,6.683540660603192
40,6.683540660603192,6.683540660603192
41,6.712303089748708,6.712303089748708
42,6.712303089748708,6.712303089748708
43,6.712332009322402,6.712332009322402
44,6.712332009322402,6.712332009322402
45,6.7125936135313164,6.7125936135313164
46,6.7125936135313164,6.7125936135313164
47,6.7130289743896325,6.7130289743896325
48,6.7130289743896325,6.7130289743896325
49,6.713188556677986,6.713188556677986
50,6.713188556677986,6.713188556677986
51,6.713334201941874,6.713334201941874
52,6.713334201941874,6.713334201941874
53,6.7134536066803,6.7134536066803
54,6.7134536066803,6.7134536066803
55,6.713601801150248,6.713601801150248
56,6.713601801150248,6.713601801150248
57,6.717547426006313,6.717547426006313
58,6.717547426006313,6.717547426006313
59,6.743033692103942,6.743033692103942
60,6.743033692103942,6.743033692103942
61,6.758117610130153,6.758117610130153
62,6.758117610130153,6.758117610130153
63,6.767255842956722,6.767255842956722
64,6.767255842956722,6.767255842956722
65,6.776217265619795,6.776217265619795
66,6.776217265619795,6.776217265619795
67,6.777419407505347,6.777419407505347
68,6.777419407505347,6.777419407505347
69,6.77900622933653,6.77900622933653
70,6.77900622933653,6.77900622933653
71,6.738850427200724,6.738850427200724
72,6.738850427200724,6.738850427200724
73,6.657537510807186,6.657537510807186
74,6.657537510807186,6.657537510807186
75,6.304545307718148,6.304545307718148
76,6.304545307718148,6.304545307718148
77,6.388776157008752,6.388776157008752
78,6.388776157008752,6.388776157008752
79,6.743952373010911,6.743952373010911
80,6.743952373010911,6.743952373010911
81,6.742779142295401,6.742779142295401
82,6.742779142295401,6.742779142295401
83,6.7435320936648235,6.7435320936648235
84,6.7435320936648235,6.7435320936648235
85,6.74112390966274,6.74112390966274
86,6.74112390966274,6.74112390966274
87,6.738902023312942,6.738902023312942
88,6.738902023312942,6.738902023312942
89,6.739783866955081,6.739783866955081
90,6.739783866955081,6.739783866955081
91,6.739840530299983,6.739840530299983
92,6.739840530299983,6.739840530299983
93,6.7400463671879605,6.7400463671879605
94,6.7400463671879605,6.7400463671879605
95,6.739331043879795,6.739331043879795
96,6.739331043879795,6.739331043879795
97,6.737542763391336,6.737542763391336
98,6.737542763391336,6.737542763391336
99,6.742885379221186,6.742885379221186
100,6.742885379221186,6.742885379221186
101,6.74333901429972,6.74333901429972
102,6.74333901429972,6.74333901429972
103,6.742676069992353,6.742676069992353
104,6.742676069992353,6.742676069992353
105,6.744196984477444,6.744196984477444
106,6.744196984477444,6.744196984477444
107,6.744314371140084,6.744314371140084
108,6.744314371140084,6.744314371140084
109,6.745447075756997,6.745447075756997
110,6.745447075756997,6.745447075756997
111,6.745839774088061,6.745839774088061
112,6.745839774088061,6.745839774088061
113,6.745470390484865,6.745470390484865
114,6.745470390484865,6.745470390484865
115,6.744366651528565,6.744366651528565
116,6.744366651528565,6.744366651528565
117,6.744025039194228,6.744025039194228
118,6.744025039194228,6.744025039194228
119,6.742679370167791,6.742679370167791
120,6.742679370167791,6.742679370167791
121,6.7425439303277175,6.7425439303277175
122,6.7425439303277175,6.7425439303277175
123,6.7418438037521415,6.7418438037521415
124,6.7418438037521415,6.7418438037521415
125,6.742076746601007,6.742076746601007
126,6.742076746601007,6.742076746601007
127,6.742735587185914,6.742735587185914
128,6.742735587185914,6.742735587185914
129,6.742939448200517,6.742939448200517
130,6.742939448200517,6.742939448200517
131,6.7428124207490985,6.7428124207490985
132,6.7428124207490985,6.7428124207490985
133,6.741299726908893,6.741299726908893
134,6.741299726908893,6.741299726908893
135,6.73187779704298,6.73187779704298
136,6.73187779704298,6.73187779704298
137,6.7373767932041115,6.7373767932041115
138,6.7373767932041115,6.7373767932041115
139,6.737074468194033,6.737074468194033
140,6.737074468194033,6.737074468194033
141,6.736836901401764,6.736836901401764
142,6.736836901401764,6.736836901401764
143,6.736261104945136,6.736261104945136
144,6.736261104945136,6.736261104945136
145,6.733797606805451,6.733797606805451
146,6.733797606805451,6.733797606805451
147,6.732310287317486,6.732310287317486
148,6.732310287317486,6.732310287317486
149,6.7319261927919545,6.7319261927919545
150,6.7319261927919545,6.7319261927919545
151,6.731726306149945,6.731726306149945
152,6.731726306149945,6.731726306149945
153,6.731051645821789,6.731051645821789
154,6.731051645821789,6.731051645821789
155,6.731085180243065,6.731085180243065
156,6.731085180243065,6.731085180243065
157,6.731671087861336,6.731671087861336
158,6.731671087861336,6.731671087861336
159,6.732035636278819,6.732035636278819
160,6.732035636278819,6.732035636278819
161,6.961146399711064,6.961146399711064
162,6.961146399711064,6.961146399711064
163,6.9649935734359705,6.9649935734359705
164,6.9649935734359705,6.9649935734359705
165,6.958707242227854,6.958707242227854
166,6.958707242227854,6.958707242227854
167,6.94798397111312,6.94798397111312
168,6.94798397111312,6.94798397111312
169,6.943995862858749,6.943995862858749
170,6.943995862858749,6.943995862858749
171,6.945112321562132,6.945112321562132
172,6.945112321562132,6.945112321562132
173,6.94247024245552,6.94247024245552
174,6.94247024245552,6.94247024245552
175,6.942262110323604,6.942262110323604
176,6.942262110323604,6.942262110323604
177,6.9422507522703905,6.9422507522703905
178,6.9422507522703905,6.9422507522703905
179,6.942237329499855,6.942237329499855
180,6.942237329499855,6.942237329499855
181,6.94222123914203,6.94222123914203
182,6.94222123914203,6.94222123914203
183,6.942207695591163,6.942207695591163
184,6.942207695591163,6.942207695591163
185,6.942183411471143,6.942183411471143
186,6.942183411471143,6.942183411471143
187,6.942168156171218,6.942168156171218
188,6.942168156171218,6.942168156171218
189,6.942145582632752,6.942145582632752
190,6.942145582632752,6.942145582632752
191,6.942143354720862,6.942143354720862
192,6.942143354720862,6.942143354720862
193,6.942142455442336,6.942142455442336
194,6.942142455442336,6.942142455442336
195,6.9421427876784465,6.9421427876784465
196,6.9421427876784465,6.9421427876784465
197,6.942143358147698,6.942143358147698
198,6.942143358147698,6.942143358147698
199,6.94214332931924,6.94214332931924
200,6.94214332931924,6.94214332931924
201,6.94214144600361,6.94214144600361
202,6.94214144600361,6.94214144600361
203,6.942138324835817,6.942138324835817
204,6.942138324835817,6.942138324835817
205,6.942133957454348,6.942133957454348
206,6.942133957454348,6.942133957454348
207,6.942129029955315,6.942129029955315
208,6.942129029955315,6.942129029955315
209,6.942123077129386,6.942123077129386
210,6.942123077129386,6.942123077129386
211,6.942117244143715,6.942117244143715
212,6.942117244143715,6.942117244143715
213,6.942110395755495,6.942110395755495
214,6.942110395755495,6.942110395755495
215,6.942102549137383,6.942102549137383
216,6.942102549137383,6.942102549137383
217,6.9420927364882985,6.9420927364882985
218,6.9420927364882985,6.9420927364882985
219,6.942082338719834,6.942082338719834
220,6.942082338719834,6.942082338719834
221,6.942070567238329,6.942070567238329
222,6.942070567238329,6.942070567238329
223,6.942054484418804,6.942054484418804
224,6.942054484418804,6.942054484418804
225,6.9420381528721125,6.9420381528721125
226,6.9420381528721125,6.9420381528721125
227,6.942021671867062,6.942021671867062
228,6.942021671867062,6.942021671867062
229,6.942003034171924,6.942003034171924
230,6.942003034171924,6.942003034171924
231,6.941982752875133,6.941982752875133
232,6.941982752875133,6.941982752875133
233,6.94196424473176,6.94196424473176
234,6.94196424473176,6.94196424473176
235,6.941944237538551,6.941944237538551
236,6.941944237538551,6.941944237538551
237,6.94192434571506,6.94192434571506
238,6.94192434571506,6.94192434571506
239,6.941902619888494,6.941902619888494
240,6.941902619888494,6.941902619888494
241,6.941882100726059,6.941882100726059
242,6.941882100726059,6.941882100726059
243,6.941860116734449,6.941860116734449
244,6.941860116734449,6.941860116734449
245,6.941839099125099,6.941839099125099
246,6.941839099125099,6.941839099125099
247,6.941819351567979,6.941819351567979
248,6.941819351567979,6.941819351567979
249,6.941801132958646,6.941801132958646
250,6.941801132958646,6.941801132958646
251,6.941783425626004,6.941783425626004
252,6.941783425626004,6.941783425626004
253,6.941767523974031,6.941767523974031
254,6.941767523974031,6.941767523974031
255,6.941754197490727,6.941754197490727
256,6.941754197490727,6.941754197490727
257,6.941742495845577,6.941742495845577
258,6.941742495845577,6.941742495845577
259,6.94174448891992,6.94174448891992
260,6.94174448891992,6.94174448891992
261,6.941746309298412,6.941746309298412
262,6.941746309298412,6.941746309298412
263,6.94175110592146,6.94175110592146
264,6.94175110592146,6.94175110592146
265,6.941754862009122,6.941754862009122
266,6.941754862009122,6.941754862009122
267,6.941757868922373,6.941757868922373
268,6.941757868922373,6.941757868922373
269,6.9417605536132125,6.9417605536132125
270,6.9417605536132125,6.9417605536132125
271,6.941762773818311,6.941762773818311
272,6.941762773818311,6.941762773818311
273,6.941763016554854,6.941763016554854
274,6.941763016554854,6.941763016554854
275,6.941759069681537,6.941759069681537
276,6.941759069681537,6.941759069681537
277,6.941744181510457,6.941744181510457
278,6.941744181510457,6.941744181510457
279,6.941731713283125,6.941731713283125
280,6.941731713283125,6.941731713283125
281,6.941720767642482,6.941720767642482
282,6.941720767642482,6.941720767642482
283,6.9417106218708025,6.9417106218708025
284,6.9417106218708025,6.9417106218708025
285,6.9417098535666515,6.9417098535666515
286,6.9417098535666515,6.9417098535666515
287,6.941713456361824,6.941713456361824
288,6.941713456361824,6.941713456361824
289,6.941715216396578,6.941715216396578
290,6.941715216396578,6.941715216396578
291,6.941716588441807,6.941716588441807
292,6.941716588441807,6.941716588441807
293,6.941717522154752,6.941717522154752
294,6.941717522154752,6.941717522154752
295,6.9417178043756405,6.9417178043756405
296,6.9417178043756405,6.9417178043756405
297,6.941717197553864,6.941717197553864
298,6.941717197553864,6.941717197553864
299,6.941707912675714,6.941707912675714
300,6.941707912675714,6.941707912675714
301,6.9417136684327465,6.9417136684327465
302,6.9417136684327465,6.9417136684327465
303,6.941720685082746,6.941720685082746
304,6.941720685082746,6.941720685082746
305,6.941728004222478,6.941728004222478
306,6.941728004222478,6.941728004222478
307,6.941735904048922,6.941735904048922
308,6.941735904048922,6.941735904048922
309,6.941742843212756,6.941742843212756
310,6.941742843212756,6.941742843212756
311,6.941748641105983,6.941748641105983
312,6.941748641105983,6.941748641105983
313,6.941754985462499,6.941754985462499
314,6.941754985462499,6.941754985462499
315,6.941760567529123,6.941760567529123
316,6.941760567529123,6.941760567529123
