criterion,passed,detail
C1,PASS,21.75%
C2,PASS,"[0.03491594648277474, 0.01115058055944207, 0.008037158460070915, 0.01089057709325636, 0.002560422885799385]"
C3,PASS,"[0.2727221168575205, 0.07041782128697367, 0.15222190861930723, 0.06441984206773864, 0.053979068430146944]"
C4,PASS,0.9636
C5,PASS,14/14
