algorithm,episode,global_step,fading_model,control_mode,role_switching,episode_reward_bps_step,avg_reward_mbps,avg_R_sec_mbps,episode_secrecy_mbits,steps,rolling20_avg_R_sec_mbps,rolling100_avg_R_sec_mbps,convergence_gap20_100_mbps
TD3,1,200,rayleigh,waypoint,False,384723143.3695662,1.923615716847831,1.9814621727691315,39.629243455382635,200,1.9814621727691315,1.9814621727691315,0.0
TD3,2,400,rayleigh,waypoint,False,88384569.72187816,0.4419228486093908,0.5074128911695341,10.148257823390683,200,1.2444375319693328,1.2444375319693328,0.0
TD3,3,600,rayleigh,waypoint,False,391902691.87706065,1.9595134593853034,2.0082062899861453,40.1641257997229,200,1.499027117974937,1.499027117974937,0.0
TD3,4,800,rayleigh,waypoint,False,615579260.4650214,3.0778963023251067,3.131584095144259,62.63168190288518,200,1.9071663622672674,1.9071663622672674,0.0
TD3,5,1000,rayleigh,waypoint,False,461165662.35084856,2.305828311754243,2.364504852342573,47.290097046851464,200,1.9986340602823287,1.9986340602823287,0.0
