method,fading_model,avg_rsec_mbps,episode_secrecy_mbits
Random Walk,rician,7.585922123979387,151.7184424795877
Distance-Greedy,rician,8.054799475681804,161.09598951363603
DQN,rician,7.665248336527594,153.30496673055188
DDPG,rician,0.0,0.0
Random Walk,rayleigh,6.91246654474252,138.24933089485037
Distance-Greedy,rayleigh,7.467616549869666,149.35233099739332
DQN,rayleigh,0.003938720016075664,0.07877440032151328
DDPG,rayleigh,7.162526974911012,143.25053949822023
