episode,secrecy
1,1.566358368540877
2,1.5544705237402274
3,1.856697859075017
4,1.5088824970766876
5,2.914175873067084
6,1.5721308687811935
7,2.018722085464099
8,1.7691006506597793
9,1.1497578416563394
10,1.709056915941275
11,2.937004532207563
12,4.29330722258937
13,2.0790855877123455
14,1.076007795723855
15,0.7063285751245568
16,0.7927069416952015
17,0.7396280007297856
18,0.3715007191803903
19,0.328046170459216
20,0.3503870724080544
21,0.5558313698876544
22,0.654910634037196
23,1.1756636097461546
24,0.9885365500665234
25,1.129894232004738
26,1.203713375420335
27,1.4401287799846259
28,1.6159015653537805
29,1.4507377369551069
30,1.2887426307683993
31,1.130561734115102
32,0.7055516335294292
33,0.4548616976344587
34,0.320914292195132
35,0.38906945232214407
36,1.2777977631483355
37,2.428912983567957
38,2.492453914258179
39,2.1350671282805003
40,2.543000066013079
41,3.312042211702371
42,3.266044991761211
43,3.604378429577837
44,4.352274727463373
45,4.038805189005539
46,2.776004534074508
47,2.300416788167265
48,2.3959829827200125
49,2.62990185051142
50,2.3434005658080186
