policy,fading_model,seed,episodes,mean_avg_R_sec_mbps,mean_episode_secrecy_mbits,mean_avg_R_legit_mbps,mean_avg_R_eve_mbps
Random Walk,rician,7,1,5.565309426262736,111.30618852525468,7.809969050145723,2.250799240564574
Distance-Greedy,rician,7,1,7.352896365621748,147.05792731243497,8.156964965485324,0.8040685998635728
Random Walk,rayleigh,7,1,4.84777867065652,96.95557341313034,7.468249501102892,2.684728302133916
Distance-Greedy,rayleigh,7,1,6.755867536962314,135.11735073924643,7.871129755115026,1.1152622181527092
