sinr_db,semantic_similarity,word_accuracy
-20,0.6712249051779509,0.39447852760736196
-18,0.7170804608613253,0.43512269938650305
-16,0.7517347149550915,0.4549079754601227
-14,0.8020918220281601,0.48987730061349694
-12,0.8257114812731743,0.5260736196319018
-10,0.863750122487545,0.5742331288343558
-8,0.886739943176508,0.6012269938650308
-6,0.9103226959705353,0.6550613496932516
-4,0.9226961880922318,0.6829754601226994
-2,0.9316140189766884,0.6957055214723926
0,0.9398354329168797,0.7124233128834356
2,0.9443284496665001,0.7305214723926381
4,0.9455736204981804,0.7354294478527608
6,0.946233544498682,0.7338957055214723
8,0.949008870869875,0.7340490797546012
10,0.9499294683337212,0.7403374233128834
12,0.9503990598022938,0.7397239263803681
14,0.9508463703095913,0.7417177914110429
16,0.9508060067892075,0.7334355828220859
18,0.9508011229336262,0.7326687116564417
20,0.9506988264620304,0.7320552147239263
