episode,secrecy
1,0.7382649450533966
2,1.1097795527078975
3,0.9836034235128908
4,0.9553974713165451
5,1.1252421826026058
6,1.1863154741213098
7,1.7739080193173637
8,2.1251883382241763
9,2.753603283636462
10,3.388619454027251
11,3.40977233184238
12,3.6236461096413164
13,3.597020448116072
14,3.7770399880445042
15,3.5880029165100784
16,3.4911562391025712
17,3.5590493056176338
18,3.4779353907480597
19,3.8683683140171454
20,3.7729568910674836
21,3.608006705008939
22,3.699363137344028
23,3.7250082308589523
24,3.628994226472806
25,3.6196347819029513
26,3.697261187093281
27,3.6579069544958545
28,3.799828254060691
29,3.8335813060290143
30,4.09910353511555
31,3.6783032295400258
32,3.567064265913259
33,2.99533211952045
34,2.9707970950196043
35,3.334291261893765
36,3.9805140987075216
37,3.787764043050616
38,3.844310687529459
39,3.492817560650272
40,3.325442736608094
41,4.082019701942062
42,3.8161411309066513
43,3.7449019587085326
44,3.633940453025595
45,3.681183310716401
46,3.7231334784355448
47,3.7740292958391173
48,3.7797205339384368
49,3.864036604557765
50,3.7534328732544435
51,3.7301934697657066
52,3.776218948050744
53,3.7855965849340425
54,4.0165724316572975
55,3.9441035145062635
56,3.683880870156829
57,3.7813777610244923
58,4.041862294321157
59,3.8261036435254114
60,3.611517654101135
61,4.105167077175742
62,4.089476505517371
63,4.103026190609002
64,4.040628281079958
65,4.126387398654656
66,4.17475124361014
67,3.8344549816773226
68,3.1684410690167293
69,3.9465028201284578
70,3.6992409795993826
71,3.7359631058889984
72,3.819873862464572
73,3.6687235736438693
74,4.082411810897236
75,3.6654995583898717
76,3.796242451670457
77,4.094431952259137
78,3.8390798303957046
79,3.7965152096631636
80,3.706843202405534
81,3.7466468818854333
82,3.65343519247678
83,4.082549171241961
84,3.7090714926942296
85,3.8297189032161105
86,3.862296319616047
87,3.634763090094398
88,3.6515048561076147
89,3.60544938427975
90,3.6382237628829817
91,3.665488756936725
92,3.632495502235328
93,3.658683866987681
94,4.039721303553339
95,3.959760259509099
96,4.252504689676961
97,4.2733963870762635
98,4.126584693110004
99,3.8261861291459014
100,3.609655189106839
