algorithm,fading_model,user_mobile,use_los_model,observation_mode,normalize_observations,enable_energy_harvesting,observation_has_eh,mean_avg_rsec_mbps,mean_episode_secrecy_mbits,baseline_random_avg_rsec_mbps,baseline_greedy_avg_rsec_mbps,training_log_csv,model_path
dqn,rician,False,False,full,True,False,False,5.320991812874493,106.41983625748985,7.0001409204069915,8.365642575517693,D:\dual_uav_summer\outputs\evaluations\channel_matrix\dqn_rician\dqn_training_log.csv,D:\dual_uav_summer\outputs\evaluations\channel_matrix\dqn_rician\dqn_qnet.pt
dqn,rayleigh,False,False,full,True,False,False,3.203318743222217,64.06637486444434,6.443609311159028,7.806652284951428,D:\dual_uav_summer\outputs\evaluations\channel_matrix\dqn_rayleigh\dqn_training_log.csv,D:\dual_uav_summer\outputs\evaluations\channel_matrix\dqn_rayleigh\dqn_qnet.pt
ddpg,rician,False,False,full,True,False,False,7.165108241523944,143.30216483047886,7.0001409204069915,8.365642575517693,D:\dual_uav_summer\outputs\evaluations\channel_matrix\ddpg_rician\ddpg_training_log.csv,D:\dual_uav_summer\outputs\evaluations\channel_matrix\ddpg_rician\ddpg_actor.pt
ddpg,rayleigh,False,False,full,True,False,False,6.989021307555603,139.78042615111204,6.443609311159028,7.806652284951428,D:\dual_uav_summer\outputs\evaluations\channel_matrix\ddpg_rayleigh\ddpg_training_log.csv,D:\dual_uav_summer\outputs\evaluations\channel_matrix\ddpg_rayleigh\ddpg_actor.pt
