episode,bs_beamformer,uav_trajectory,jammer_beamformer
1,-0.06710670769488625,-0.06710670769488625,-0.06710670769488625
2,0.3039031618948896,0.3039031618948896,0.3039031618948896
3,-0.29322436866507134,-0.29322436866507134,-0.29322436866507134
4,0.15691618833748266,0.15691618833748266,0.15691618833748266
5,-0.05656830087009676,-0.05656830087009676,-0.05656830087009676
6,-0.20965773549066813,-0.20965773549066813,-0.20965773549066813
7,0.13035808478575675,0.13035808478575675,0.13035808478575675
8,-1.396027064340067,-1.396027064340067,-1.396027064340067
9,0.011511173842375454,0.011511173842375454,0.011511173842375454
10,0.5747832345435038,0.5747832345435038,0.5747832345435038
11,0.4902076985204749,0.4902076985204749,0.4902076985204749
12,0.6313698047023487,0.6313698047023487,0.6313698047023487
13,0.46338680856426967,0.46338680856426967,0.46338680856426967
14,0.6731362153588754,0.6731362153588754,0.6731362153588754
15,-0.2198312901232208,-0.2198312901232208,-0.2198312901232208
16,-0.4045299961495578,-0.4045299961495578,-0.4045299961495578
17,-0.39030733182250826,-0.39030733182250826,-0.39030733182250826
18,-0.3539673466918748,-0.3539673466918748,-0.3539673466918748
19,-0.3029659653567592,-0.3029659653567592,-0.3029659653567592
20,-0.26598798014684283,-0.26598798014684283,-0.26598798014684283
21,-0.15800522034628797,-0.15800522034628797,-0.15800522034628797
22,-0.12324250698884981,-0.12324250698884981,-0.12324250698884981
23,-0.08923770214120186,-0.08923770214120186,-0.08923770214120186
24,-0.06369856602384598,-0.06369856602384598,-0.06369856602384598
25,-0.08503382733663674,-0.08503382733663674,-0.08503382733663674
26,-0.15198477440331346,-0.15198477440331346,-0.15198477440331346
27,-0.2659326333798274,-0.2659326333798274,-0.2659326333798274
28,-0.13180180587192578,-0.13180180587192578,-0.13180180587192578
29,-0.11470922737012598,-0.11470922737012598,-0.11470922737012598
30,-0.12755109428357703,-0.12755109428357703,-0.12755109428357703
31,-0.09635054099802363,-0.09635054099802363,-0.09635054099802363
32,-0.4543210513206114,-0.4543210513206114,-0.4543210513206114
33,-0.4975263466570784,-0.4975263466570784,-0.4975263466570784
34,-0.44778399975196065,-0.44778399975196065,-0.44778399975196065
35,-0.3433377101289925,-0.3433377101289925,-0.3433377101289925
36,-0.19159257092243234,-0.19159257092243234,-0.19159257092243234
37,-0.21370782588626203,-0.21370782588626203,-0.21370782588626203
38,-0.2353806938639943,-0.2353806938639943,-0.2353806938639943
39,-0.17502813475357823,-0.17502813475357823,-0.17502813475357823
40,-0.19964532983267794,-0.19964532983267794,-0.19964532983267794
41,-0.24028411072725464,-0.24028411072725464,-0.24028411072725464
42,-0.2078860208915306,-0.2078860208915306,-0.2078860208915306
43,-0.09752182937708385,-0.09752182937708385,-0.09752182937708385
44,1.1627920763825417,1.1627920763825417,1.1627920763825417
45,-0.22266139431651819,-0.22266139431651819,-0.22266139431651819
46,-0.2090512808011858,-0.2090512808011858,-0.2090512808011858
47,-0.25988782708425573,-0.25988782708425573,-0.25988782708425573
48,-0.19504384620518989,-0.19504384620518989,-0.19504384620518989
49,-0.16929830185856992,-0.16929830185856992,-0.16929830185856992
50,-0.09959955532640208,-0.09959955532640208,-0.09959955532640208
51,-0.14817232330925276,-0.14817232330925276,-0.14817232330925276
52,-0.15143070819328833,-0.15143070819328833,-0.15143070819328833
53,-0.11519907047970719,-0.11519907047970719,-0.11519907047970719
54,0.5487065074855527,0.5487065074855527,0.5487065074855527
55,1.7031970320338707,1.7031970320338707,1.7031970320338707
56,-0.1727295721336178,-0.1727295721336178,-0.1727295721336178
57,-0.1532191790414239,-0.1532191790414239,-0.1532191790414239
58,-0.16059152535541507,-0.16059152535541507,-0.16059152535541507
59,-0.16074060085254374,-0.16074060085254374,-0.16074060085254374
60,-0.16873800140314657,-0.16873800140314657,-0.16873800140314657
61,1.4330278711592308,1.4330278711592308,1.4330278711592308
62,1.4274447638618801,1.4274447638618801,1.4274447638618801
63,-0.09436225991263568,-0.09436225991263568,-0.09436225991263568
64,-0.17157762498361276,-0.17157762498361276,-0.17157762498361276
65,0.5508599122259921,0.5508599122259921,0.5508599122259921
66,-0.08938111459097012,-0.08938111459097012,-0.08938111459097012
67,-0.18628060554570133,-0.18628060554570133,-0.18628060554570133
68,-0.2001592402010992,-0.2001592402010992,-0.2001592402010992
69,0.11856487704267726,0.11856487704267726,0.11856487704267726
70,-0.12400259098109451,-0.12400259098109451,-0.12400259098109451
71,-0.20085995463218118,-0.20085995463218118,-0.20085995463218118
72,-0.201752654568508,-0.201752654568508,-0.201752654568508
73,-0.2108548771472581,-0.2108548771472581,-0.2108548771472581
74,-0.083320284685791,-0.083320284685791,-0.083320284685791
75,-0.18273075792513704,-0.18273075792513704,-0.18273075792513704
76,-0.15523689850807393,-0.15523689850807393,-0.15523689850807393
77,0.08562745545205122,0.08562745545205122,0.08562745545205122
78,0.3037540401348253,0.3037540401348253,0.3037540401348253
79,0.3346203891378815,0.3346203891378815,0.3346203891378815
80,0.31996883591471265,0.31996883591471265,0.31996883591471265
81,1.4898614193851165,1.4898614193851165,1.4898614193851165
82,-0.18135869926740053,-0.18135869926740053,-0.18135869926740053
83,-0.18785561746805152,-0.18785561746805152,-0.18785561746805152
84,1.3673976693043253,1.3673976693043253,1.3673976693043253
85,1.3947579302529343,1.3947579302529343,1.3947579302529343
86,1.3605194841315436,1.3605194841315436,1.3605194841315436
87,1.3270157950145318,1.3270157950145318,1.3270157950145318
88,-0.16838677481475384,-0.16838677481475384,-0.16838677481475384
89,-0.2531858376136865,-0.2531858376136865,-0.2531858376136865
90,-0.2567594433821316,-0.2567594433821316,-0.2567594433821316
91,-0.27284540901820614,-0.27284540901820614,-0.27284540901820614
92,-0.26798278338827974,-0.26798278338827974,-0.26798278338827974
93,0.17129379072707746,0.17129379072707746,0.17129379072707746
94,-0.19139393341556749,-0.19139393341556749,-0.19139393341556749
95,0.16380869804992282,0.16380869804992282,0.16380869804992282
96,0.456055708703105,0.456055708703105,0.456055708703105
97,0.32950525911104633,0.32950525911104633,0.32950525911104633
98,0.2834838306233578,0.2834838306233578,0.2834838306233578
99,0.20321734961856655,0.20321734961856655,0.20321734961856655
100,0.7513967896189757,0.7513967896189757,0.7513967896189757
