episode,agent,critic_loss,actor_loss,critic_grad_norm,actor_grad_norm,reward_mean,reward_std
6,bs_beamformer,1.5740684270858765,0.0,91.3363265991211,0.0,-0.14326268434524536,0.7757010459899902
6,uav_trajectory,2246.3779296875,0.0,97594.7421875,0.0,-0.1882714331150055,0.686612606048584
6,jammer_beamformer,53.05971908569336,0.0,1124.6761474609375,0.0,-0.1575271040201187,0.7401224970817566
7,bs_beamformer,3.058103561401367,3.1029863357543945,210.6705780029297,18.811702728271484,-0.1262928545475006,0.7711860537528992
7,uav_trajectory,1324.050537109375,39.653038024902344,78321.3828125,5.397909641265869,-0.1756991147994995,0.6754616498947144
7,jammer_beamformer,34.69171142578125,-0.31483137607574463,896.7374267578125,17.04178810119629,-0.11477488279342651,0.7974973917007446
8,bs_beamformer,2.4000244140625,0.0,145.1104736328125,0.0,-0.12725405395030975,0.8406703472137451
8,uav_trajectory,58.14962387084961,0.0,14865.1875,0.0,-0.1641845554113388,0.7675867080688477
8,jammer_beamformer,19.699743270874023,0.0,668.0585327148438,0.0,-0.18161171674728394,0.7365155220031738
9,bs_beamformer,1.8120636940002441,1.5398268699645996,114.99695587158203,14.242020606994629,-0.16280877590179443,0.7808131575584412
9,uav_trajectory,643.7783203125,64.8988265991211,54121.35546875,0.9509391784667969,-0.1526697874069214,0.7979658246040344
9,jammer_beamformer,10.163614273071289,-1.2680567502975464,458.68890380859375,17.474767684936523,-0.20708437263965607,0.7562477588653564
10,bs_beamformer,2.127563714981079,0.0,123.6153793334961,0.0,-0.1813991516828537,0.8827582597732544
10,uav_trajectory,1273.7308349609375,0.0,76330.1875,0.0,-0.1857820749282837,0.7777378559112549
10,jammer_beamformer,4.326709747314453,0.0,237.90338134765625,0.0,-0.18225803971290588,0.8994541764259338
11,bs_beamformer,1.7807831764221191,2.2306816577911377,91.04871368408203,14.044594764709473,-0.2157931625843048,0.837332546710968
11,uav_trajectory,1193.609375,58.98291015625,74028.0,8.662042617797852,-0.24353963136672974,0.834113597869873
11,jammer_beamformer,2.0634727478027344,-0.9219778776168823,20.75351333618164,19.583284378051758,-0.1844778060913086,0.9443258047103882
12,bs_beamformer,1.7920039892196655,0.0,78.68756866455078,0.0,-0.2801171839237213,0.8199900388717651
12,uav_trajectory,670.6083374023438,0.0,55499.48828125,0.0,-0.27593180537223816,0.825211763381958
12,jammer_beamformer,3.186370611190796,0.0,171.87367248535156,0.0,-0.21665239334106445,0.8925133943557739
13,bs_beamformer,1.8352278470993042,2.760612964630127,91.8261947631836,9.443925857543945,-0.2524482011795044,0.8595666289329529
13,uav_trajectory,145.31231689453125,39.52510070800781,25050.529296875,0.3887350559234619,-0.2824036478996277,0.794003427028656
13,jammer_beamformer,5.3201141357421875,-1.1337106227874756,279.5301208496094,20.67854118347168,-0.25216144323349,0.8892062306404114
14,bs_beamformer,1.3567405939102173,0.0,85.85835266113281,0.0,-0.28741589188575745,0.73329758644104
14,uav_trajectory,51.35106658935547,0.0,14765.8779296875,0.0,-0.30646055936813354,0.7189239859580994
14,jammer_beamformer,6.711899280548096,0.0,330.3991394042969,0.0,-0.2324805110692978,0.8903440833091736
15,bs_beamformer,1.3571535348892212,2.1042861938476562,60.1766242980957,6.571660041809082,-0.20120148360729218,0.7974764704704285
15,uav_trajectory,258.20013427734375,27.695178985595703,33575.9765625,13.2464017868042,-0.18281233310699463,0.838198184967041
15,jammer_beamformer,6.473841190338135,-1.2484534978866577,334.6331787109375,13.103339195251465,-0.2510700821876526,0.7764758467674255
16,bs_beamformer,0.9576694369316101,0.0,52.00847244262695,0.0,-0.20978419482707977,0.6575980186462402
16,uav_trajectory,343.7545166015625,0.0,38432.7109375,0.0,-0.1660093367099762,0.8269864916801453
16,jammer_beamformer,6.481319427490234,0.0,326.685791015625,0.0,-0.1282743662595749,0.867158830165863
17,bs_beamformer,1.4133377075195312,1.7007948160171509,71.32701110839844,5.573329448699951,-0.06870768964290619,0.8506234884262085
17,uav_trajectory,244.29373168945312,33.76850891113281,31624.955078125,1.92311540558876e-06,-0.09365805238485336,0.8563278317451477
17,jammer_beamformer,5.74265193939209,-1.3433959484100342,301.00390625,6.716749668121338,-0.05126136541366577,0.8657435774803162
18,bs_beamformer,1.3627376556396484,0.0,66.08562469482422,0.0,-0.09286117553710938,0.8465210199356079
18,uav_trajectory,83.40449523925781,0.0,17198.2734375,0.0,-0.07040143758058548,0.874724268913269
18,jammer_beamformer,4.251932144165039,0.0,238.423095703125,0.0,-0.012411316856741905,0.8912625908851624
19,bs_beamformer,1.0934858322143555,2.3203237056732178,34.69888687133789,5.8877482414245605,-0.05377602577209473,0.7904782295227051
19,uav_trajectory,33.311222076416016,49.27035140991211,11071.7919921875,9.918068144543213e-08,0.02891928143799305,0.9811825156211853
19,jammer_beamformer,3.4126055240631104,-1.6237848997116089,165.333251953125,4.68393087387085,0.07697372138500214,1.0747265815734863
20,bs_beamformer,1.472221851348877,0.0,44.54092788696289,0.0,0.01461024209856987,0.9376762509346008
20,uav_trajectory,94.92344665527344,0.0,19510.70703125,0.0,-0.009040139615535736,0.9992972016334534
20,jammer_beamformer,2.4816408157348633,0.0,76.98816680908203,0.0,0.15392251312732697,1.122584581375122
21,bs_beamformer,1.3444753885269165,2.3795435428619385,65.3739242553711,7.787582874298096,0.011890726163983345,0.8682129979133606
21,uav_trajectory,122.0298843383789,51.07941818237305,21531.2578125,0.0,0.09001067280769348,1.0382955074310303
