episode,violation
1,6.257772078299695e-15
2,9.668932321460489e-15
3,7.110562139089893e-15
4,1.180056052874079e-14
5,7.110978472724127e-15
6,5.972583538849108e-15
7,7.821659986362306e-15
8,9.243855680907132e-15
9,8.814893259767586e-15
10,7.536749002667876e-15
11,9.243300569394818e-15
12,1.0803719030505477e-14
13,1.0094841629282314e-14
14,8.816003482792212e-15
15,1.1091821905395705e-14
16,1.1516482212314827e-14
17,1.322233988965138e-14
18,1.3078566007962422e-14
19,1.2651407699237893e-14
20,1.1942113964380496e-14
21,1.151634343443675e-14
22,9.527933997333093e-15
23,9.527240107942703e-15
24,9.243300569394818e-15
25,1.0237366510068568e-14
26,8.81697492793876e-15
27,9.810346979222117e-15
28,8.817113705816837e-15
29,1.421474049578819e-14
30,1.1090156570858767e-14
31,9.101192022242798e-15
32,1.179903397208193e-14
33,1.2938539128981575e-14
34,1.2936735016566559e-14
35,1.1942669075892808e-14
36,9.525297217649609e-15
37,9.099387909827782e-15
38,8.957001806919606e-15
39,9.951345303349513e-15
40,9.383466226253745e-15
41,1.037864238995212e-14
42,8.676254159567521e-15
43,1.0235562397653552e-14
44,9.951761636983747e-15
45,1.1656647869173754e-14
46,1.0803163918993164e-14
47,1.023570117553163e-14
48,7.536887780545954e-15
49,7.96349097775817e-15
50,9.810208201344039e-15
